tau,posts_per_day,volume_scenario,scenario_s_fn,loss_share,eur_per_FN,FN,total_cost_eur,total_cost_period_eur
0.97,1260900000.0,low,0.5,1.0,4.687725351845993,7519,35247.00692053002,80441741357.23431
0.98,1260900000.0,low,0.5,1.0,4.445888864849902,7928,35247.006920530024,80441741357.23431
0.99,1260900000.0,low,0.5,1.0,4.361713515719592,8081,35247.006920530024,80441741357.23431
0.5,2434800000.0,mid,0.01,0.0,0.0,3161,0.0,0.0
0.51,2434800000.0,mid,0.01,1.89035916824197e-05,0.00010915896961098504,3161,0.3450515029403237,1520637.8328399712
0.52,2434800000.0,mid,0.01,7.56143667296788e-05,0.00043064150132957713,3205,1.3802060117612946,6082551.331359885
0.53,2434800000.0,mid,0.01,0.00017013232514177728,0.0008559712035454556,3628,3.105463526462913,13685740.49555974
0.54,2434800000.0,mid,0.01,0.0003024574669187152,0.0015217265840808101,3628,5.5208240470451795,24330205.32543954
0.55,2434800000.0,mid,0.01,0.00047258979206049243,0.002377042593967509,3629,8.62628757350809,38015945.82099928
0.56,2434800000.0,mid,0.01,0.0006805293005671091,0.0034154121819773586,3637,12.421854105851653,54742961.98223896
0.57,2434800000.0,mid,0.01,0.000926275992438562,0.004462265411474216,3789,16.907523644075802,74511253.80915834
0.58,2434800000.0,mid,0.01,0.0012098298676748572,0.00582672722643289,3790,22.083296188180654,97320821.30175789
0.59,2434800000.0,mid,0.01,0.0015311909262759919,0.0073744516459541285,3790,27.949171738166147,123171664.46003737
0.6,2434800000.0,mid,0.01,0.0018903591682419654,0.009085084332288648,3798,34.50515029403228,152063783.28399676
0.61,2434800000.0,mid,0.01,0.0022873345935727793,0.010952579185671326,3812,41.751231855779096,183997177.7736362
0.62,2434800000.0,mid,0.01,0.0027221172022684316,0.013034474402782404,3812,49.687416423406525,218971847.92895547
0.63,2434800000.0,mid,0.01,0.0031947069943289237,0.015249399580783106,3824,58.3137039969146,256987793.7499547
0.64,2434800000.0,mid,0.01,0.0037051039697542543,0.017653378902715566,3831,67.63009457630334,298045015.23663384
0.65,2434800000.0,mid,0.01,0.004253308128544426,0.01798808808192139,4316,77.63658816157272,342143512.388993
0.66,2434800000.0,mid,0.01,0.004839319470699437,0.019202866250591904,4600,88.33318475272276,389283285.20703214
0.67,2434800000.0,mid,0.01,0.005463137996219285,0.021678235728207262,4600,99.71988434975341,439464333.6907511
0.68,2434800000.0,mid,0.01,0.006124763705103975,0.02430362759840538,4600,111.79668695266474,492686657.8401501
0.69,2434800000.0,mid,0.01,0.006824196597353496,0.02675334891783861,4656,124.56359256145657,548950257.6552284
0.7,2434800000.0,mid,0.01,0.0075614366729678615,0.029618154758825996,4660,138.02060117612913,608255133.135987
0.71,2434800000.0,mid,0.01,0.00833648393194707,0.03264700982550578,4661,152.16771279668245,670601284.282426
0.72,2434800000.0,mid,0.01,0.009149338374291117,0.03582259275485122,4662,167.00492742311638,735988711.0945448
0.73,2434800000.0,mid,0.01,0.01,0.038226648179147824,4775,182.53224505543085,804417413.5723431
0.74,2434800000.0,mid,0.01,0.010888468809073727,0.040470304559891285,4911,198.7496656936261,875887391.7158219
0.75,2434800000.0,mid,0.01,0.011814744801512289,0.043243871934570265,4987,215.6571893377019,950398645.5249802
0.76,2434800000.0,mid,0.01,0.012778827977315695,0.04677257188443121,4987,233.25481598765845,1027951174.9998188
0.77,2434800000.0,mid,0.01,0.013780718336483937,0.05017804620855686,5013,251.54254564349554,1108544980.1403372
0.78,2434800000.0,mid,0.01,0.014820415879017017,0.0539637698594082,5013,270.5203783052133,1192180060.9465353
0.79,2434800000.0,mid,0.01,0.01589792060491494,0.057771911999365266,5023,290.1883139728117,1278856417.4184136
0.8,2434800000.0,mid,0.01,0.017013232514177704,0.06178797306929783,5026,310.54635264629087,1368574049.555972
0.81,2434800000.0,mid,0.01,0.0181663516068053,0.05868929103108859,5650,331.59449432565054,1461332957.35921
0.82,2434800000.0,mid,0.01,0.019357277882797726,0.059947868851525386,5894,353.33273901089063,1557133140.828127
0.83,2434800000.0,mid,0.01,0.02058601134215501,0.06370991636181957,5898,375.7610867020118,1655974599.9627254
0.84,2434800000.0,mid,0.01,0.021852551984877126,0.06749230751252341,5910,398.8795373990134,1757857334.763003
0.85,2434800000.0,mid,0.01,0.023156899810964086,0.06954394391278311,6078,422.68809110189574,1862781345.2289612
0.86,2434800000.0,mid,0.01,0.024499054820415884,0.07314143732591735,6114,447.1867478106587,1970746631.360599
0.87,2434800000.0,mid,0.01,0.02587901701323252,0.07672170010155957,6157,472.3755075253023,2081753193.1579168
0.88,2434800000.0,mid,0.01,0.027296786389413994,0.07868830863010526,6332,498.2543702458265,2195801030.6209145
0.89,2434800000.0,mid,0.01,0.028752362948960313,0.0768408983853926,6830,524.8233359722315,2312890143.7495923
0.9,2434800000.0,mid,0.01,0.03024574669187147,0.0762755463808396,7238,552.082404704517,2433020532.54395
0.91,2434800000.0,mid,0.01,0.03177693761814746,0.08011485862467999,7240,580.0315764426831,2556192197.0039873
0.92,2434800000.0,mid,0.01,0.033345935727788295,0.08401253984633955,7245,608.67085118673,2682405137.129705
0.93,2434800000.0,mid,0.01,0.034952741020793966,0.08784252085042786,7263,638.0002289366575,2811659352.9211025
0.94,2434800000.0,mid,0.01,0.03659735349716447,0.09052984275545001,7379,668.0197096924657,2943954844.378179
0.95,2434800000.0,mid,0.01,0.03827977315689981,0.0941049553473608,7425,698.7292934541539,3079291611.500935
0.96,2434800000.0,mid,0.01,0.04,0.09803020679668681,7448,730.1289802217234,3217669654.2893724
0.97,2434800000.0,mid,0.01,0.04175803402646504,0.10137235935565547,7519,762.2187699951735,3359088972.74349
0.98,2434800000.0,mid,0.01,0.043553875236294906,0.10027732880606766,7928,794.9986627745044,3503549566.8632874
0.99,2434800000.0,mid,0.01,0.04538752362948961,0.10252056163342602,8081,828.4686585597157,3651051436.648764
0.5,2434800000.0,mid,0.03,0.0,0.0,3161,0.0,0.0
0.51,2434800000.0,mid,0.03,5.671077504725909e-05,0.00032747690883295507,3161,1.035154508820971,4561913.498519913
0.52,2434800000.0,mid,0.03,0.00022684310018903636,0.0012919245039887312,3205,4.140618035283883,18247653.994079653
0.53,2434800000.0,mid,0.03,0.0005103969754253319,0.0025679136106363672,3628,9.31639057938874,41057221.486679226
