app,policy_area,tau,TP,FP,FN,TN,TP_meta3,FP_meta3,FN_meta3,TN_meta3,volume_scenario,posts_per_day,scenario_s_fp,scenario_s_fn,cost_fp_1,cost_fp_2,cost_fn_1,eur_per_FP,eur_per_FN,direct_fp_cost,direct_fn_cost,indirect_fp_cost,indirect_fn_cost,fp_cost_total,fn_cost_total,ecm_total_cost
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.06,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0236865245441475,0.0,13372.592007817744,17.52988,1051.8238089074139,0.0,14424.415816725159,17.52988,14441.945696725159
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.12,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.047373049088295,0.0,13372.592007817744,17.52988,2103.6476178148278,0.0,15476.239625632572,17.52988,15493.769505632572
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.12,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.047373049088295,0.0,13372.592007817744,17.52988,2103.6476178148278,0.0,15476.239625632572,17.52988,15493.769505632572
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.12,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.047373049088295,0.0,13372.592007817744,17.52988,2103.6476178148278,0.0,15476.239625632572,17.52988,15493.769505632572
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.12,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.047373049088295,0.0,13372.592007817744,17.52988,2103.6476178148278,0.0,15476.239625632572,17.52988,15493.769505632572
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.27,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.1065893604486638,0.0,13372.592007817744,17.52988,4733.207140083365,0.0,18105.79914790111,17.52988,18123.32902790111
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.27,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.1065893604486638,0.0,13372.592007817744,17.52988,4733.207140083365,0.0,18105.79914790111,17.52988,18123.32902790111
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.27,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.1065893604486638,0.0,13372.592007817744,17.52988,4733.207140083365,0.0,18105.79914790111,17.52988,18123.32902790111
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.27,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.1065893604486638,0.0,13372.592007817744,17.52988,4733.207140083365,0.0,18105.79914790111,17.52988,18123.32902790111
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.06,0.01,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0167278802680239,0.0,11124.945949400046,21.540499999999998,664.966696414486,0.0,11789.912645814531,21.540499999999998,11811.45314581453
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.06,0.03,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0167278802680239,0.0,11124.945949400046,21.540499999999998,664.966696414486,0.0,11789.912645814531,21.540499999999998,11811.45314581453
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.06,0.075,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0167278802680239,0.0,11124.945949400046,21.540499999999998,664.966696414486,0.0,11789.912645814531,21.540499999999998,11811.45314581453
